id_docente,id_materia,puntuacion
31825,8822,
3294,8822,
38505,8822,
36930,8822,
35821,8823,2
38505,8823,
31825,8823,3
5778,8823,
36930,8823,
69376,8823,3
31736,8823,
28434,8823,
37832,8823,
38189,8823,
4771,8823,3
31688,8823,
3266,8823,
37058,8823,
36353,8823,
30723,8823,3
3811,8823,
140543,8823,3
36279,8823,3
3294,8823,3
2684,8823,
37576,8823,
30656,8823,
35971,8823,
3807,8823,
73901,8823,
61128,8823,2
120191,8823,
40493,8823,
3842,8823,
678,8823,
3823,8823,
40427,8823,
3834,8823,
72299,8823,
23613,8823,3
2131,8823,
110255,8823,
2312,8823,
24142,8823,3
111213,8823,
37694,8823,
67734,8823,
31754,8823,
24495,8823,
39123,8823,1
28737,8823,
152909,8823,3
30711,8823,
42508,8823,
30646,8823,
121542,8823,
36420,8823,
3882,8823,
2340,8823,3
38877,8823,
33131,8823,2
29106,8823,3
29188,8823,
40043,8823,
5445,8823,
140540,8823,
140539,8823,3
24814,8823,3
34053,8823,
61000,8823,3
3266,8824,
39123,8824,
28737,8824,
24495,8824,
67734,8824,
37694,8824,
34053,8824,
31754,8824,3
33131,8824,3
2340,8824,
69376,8824,3
31736,8824,3
152909,8824,
2684,8824,
3294,8824,
40043,8824,
3842,8824,
678,8824,
3823,8824,
40427,8824,
3834,8824,
72299,8824,
61000,8824,
28434,8824,2
23613,8824,1
2131,8824,
110255,8824,
30711,8824,3
42508,8824,
121542,8824,
3882,8824,
38877,8824,
24814,8824,
140539,8824,
140540,8824,
5445,8824,
29188,8824,3
29106,8824,
120191,8824,
37576,8824,
37832,8824,
38189,8824,
36420,8824,1
4771,8824,3
31688,8824,
37058,8824,
36353,8824,
30723,8824,
3811,8824,
2312,8824,
140543,8824,3
36279,8824,3
30646,8824,3
30656,8824,
35971,8824,
3807,8824,
73901,8824,
40493,8824,3
61128,8824,
24142,8824,
111213,8824,
35821,8824,
31825,8824,3
36930,8824,
5778,8824,
38505,8824,3
31825,8825,
38505,8825,
36930,8825,
5778,8825,
121542,8825,
42508,8825,
30711,8825,
140543,8825,
28434,8825,
40043,8825,
34053,8825,
110255,8825,
36279,8825,
2131,8825,
23613,8825,
72299,8825,
3834,8825,
40427,8825,
3823,8825,
678,8825,
3842,8825,
