id,materia
12545,INFORMÁTICA FORENSE
12546,COMPUTACIÓN EN LA NUBE
12547,ARQUITECTURAS EMPRESARIALES
12548,EMPRENDIMIENTO E INNOVACIÓN
12549,"SEMINARIO DE TITULACIÓN (PROPUESTA DEL ANTEPROYECTO)
(EMI) "
12550,PRÁCTICAS PRE PROFESIONALES I
12551,INGENIERÍA DE SOFTWARE EN SISTEMAS INTELIGENTES
12552,SISTEMAS DE GESTIÓN DE SEGURIDAD DE LA INFORMACIÓN
12553,AUDITORÍA INFORMÁTICA
12554,GESTIÓN DE PROYECTOS DE SOFTWARE
12555,"REALIDAD SOCIOECONÓMICA, CULTURAL Y ECOLÓGICA DEL ECUADOR (ISCU) "
12556,DESARROLLO DEL TRABAJO DE TITULACIÓN (TUTELAR) (EMI)
12557,PRÁCTICAS PRE PROFESIONALES II
16653,ÁLGEBRA LINEAL
16654,FUNDAMENTOS DE PROGRAMACIÓN
16655,FUNDAMENTOS DE CIENCIAS DE LA COMPUTACIÓN
16656,CÁLCULO DE UNA VARIABLE
16657,COMUNICACIÓN Y LENGUAJE
16658,ECUACIONES DIFERENCIALES
16659,PROGRAMACIÓN ORIENTADA A OBJETOS
16660,EDUCACIÓN EN VALORES Y DERECHOS CIUDADANOS
16661,CÁLCULO DE VARIAS VARIABLE
16662,FÍSICA
16663,MÉTODOS NUMÉRICOS
16664,ESTRUCTURAS DE DATOS
16665,INTRODUCCIÓN A LA INVESTIGACIÓN CIENTÍFICA
16666,MATEMÁTICA DISCRETA
16667,ELECTRICIDAD Y MAGNETISMO
16668,TEORÍA DE AUTÓMATAS Y LENGUAJES FORMALES
16669,ANÁLISIS Y DISEÑO DE ALGORITMOS
16670,BASES DE DATOS
16671,SISTEMAS OPERATIVOS
16672,INTERACCIÓN HUMANO COMPUTADOR
16673,PROGRAMACIÓN FUNCIONAL Y REACTIVA
16674,ARQUITECTURA Y ORGANIZACIÓN DE COMPUTADORES
16675,BASES DE DATOS AVANZADAS
16676,ESTADÍSTICA DESCRIPTIVA
16677,REDES DE COMPUTADORAS
16678,PRACTICAS DE SERVICIO COMUNITARIO
16679,DESARROLLO DE APLICACIONES MULTIPLATAFORMA
16680,MINERÍA DE DATOS
16681,MÉTODOS DE OPTIMIZACIÓN
16682,ESTADÍSTICA INFERENCIAL
16683,PRACTICAS DE SERVICIO COMUNITARIO
16684,METAHEURISTICA
16685,APRENDIZAJE DE MÁQUINA
16686,COMPUTACIÓN PARALELA Y DISTRIBUIDA
16687,SIMULACIÓN
16688,INTERNET DE LAS COSAS
16689,SEGURIDAD DE LA INFORMACIÓN
16690,PRACTICAS PREPROFESIONALES I
16691,COMPUTACION BIOLOGICA
16692,APRENDIZAJE PROFUNDO
16693,COMPUTACIÓN CIENTIFÍCA
16694,"REALIDAD SOCIOECONÓMICA, CULTURAL Y ECOLÓGICA DEL ECUADOR"
16695,INGENIERÍA DE SOFTWARE I
16696,SEMINARIO DE TITULACIÓN
16697,PRACTICAS PREPROFESIONALES II
16698,BIOINFORMATICA
16699,BIG DATA
16700,ETICA PROFESIONAL
16701,AUDITORÍA INFORMÁTICA
16702,INGENIERÍA DE SOFTWARE II
16703,DESARROLLO DEL TRABAJO DE TITULACIÓN
16704,PRACTICAS PREPROFESIONALES III
16750,INFORMATICA FORENSE (ITINERARIO) (A19)
16751,APLICACIONES MOVILES (ITINERARIO) (A19)
16752,TECNOLOGIAS PARA REDES DEL FUTURO (ITINERARIO) (A19)
